Freq.	                 V(out)                    Fase                     BOOOOOODDDDEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!
2.95120922666637e+02	(-1.42074986291629e+01dB,8.94118558857551e+01°)
3.01995172040200e+02	(-1.44075594675659e+01dB,8.93549705236470e+01°)
3.09029543251358e+02	(-1.46076279954278e+01dB,8.92977444320403e+01°)
3.16227766016837e+02	(-1.48077043574877e+01dB,8.92401474057782e+01°)
3.23593656929627e+02	(-1.50077887150281e+01dB,8.91821490497434e+01°)
3.31131121482590e+02	(-1.52078812462108e+01dB,8.91237187634259e+01°)
3.38844156139201e+02	(-1.54079821464485e+01dB,8.90648257254156e+01°)
3.46736850452530e+02	(-1.56080916288119e+01dB,8.90054388778167e+01°)
3.54813389233574e+02	(-1.58082099244734e+01dB,8.89455269105790e+01°)
3.63078054770100e+02	(-1.60083372831891e+01dB,8.88850582457406e+01°)
3.71535229097171e+02	(-1.62084739738181e+01dB,8.88240010215787e+01°)
3.80189396320559e+02	(-1.64086202848823e+01dB,8.87623230766640e+01°)
3.89045144994279e+02	(-1.66087765251662e+01dB,8.86999919338138e+01°)
3.98107170553495e+02	(-1.68089430243589e+01dB,8.86369747839423e+01°)
4.07380277804111e+02	(-1.70091201337384e+01dB,8.85732384698010e+01°)
4.16869383470333e+02	(-1.72093082269014e+01dB,8.85087494696103e+01°)
4.26579518801591e+02	(-1.74095077005379e+01dB,8.84434738805749e+01°)
4.36515832240164e+02	(-1.76097189752532e+01dB,8.83773774022835e+01°)
4.46683592150961e+02	(-1.78099424964390e+01dB,8.83104253199896e+01°)
4.57088189614873e+02	(-1.80101787351952e+01dB,8.82425824877697e+01°)
4.67735141287196e+02	(-1.82104281893033e+01dB,8.81738133115606e+01°)
4.78630092322636e+02	(-1.84106913842543e+01dB,8.81040817320708e+01°)
4.89778819368444e+02	(-1.86109688743330e+01dB,8.80333512075688e+01°)
5.01187233627270e+02	(-1.88112612437598e+01dB,8.79615846965449e+01°)
5.12861383991362e+02	(-1.90115691078930e+01dB,8.78887446402499e+01°)
5.24807460249770e+02	(-1.92118931144940e+01dB,8.78147929451080e+01°)
5.37031796370250e+02	(-1.94122339450563e+01dB,8.77396909650093e+01°)
5.49540873857622e+02	(-1.96125923162030e+01dB,8.76633994834805e+01°)
5.62341325190346e+02	(-1.98129689811534e+01dB,8.75858786957390e+01°)
5.75439937337154e+02	(-2.00133647312620e+01dB,8.75070881906328e+01°)
5.88843655355586e+02	(-2.02137803976337e+01dB,8.74269869324712e+01°)
6.02559586074355e+02	(-2.04142168528159e+01dB,8.73455332427519e+01°)
6.16595001861479e+02	(-2.06146750125730e+01dB,8.72626847817896e+01°)
